GCN
72.56 $\pm$ 4.43,61.69 $\pm$ 5.39,82.41 $\pm$ 3.77,4.47 $\pm$ 4.10,4.52 $\pm$ 4.69,0.0448 $\pm$ 0.0196,0,1704629620,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 500.0, 'patience': 5, 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"
77.04 $\pm$ 1.14,71.03 $\pm$ 2.13,85.41 $\pm$ 1.33,12.21 $\pm$ 4.47,9.57 $\pm$ 3.76,0.1086 $\pm$ 0.0270,0,1704629840,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 1000, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 500.0, 'patience': 5, 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"
75.02 $\pm$ 1.47,73.18 $\pm$ 3.23,83.30 $\pm$ 1.65,9.44 $\pm$ 2.95,7.14 $\pm$ 2.23,0.0430 $\pm$ 0.0124,0,1704631693,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 100.0, 'patience': 5, 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"
74.33 $\pm$ 2.60,68.15 $\pm$ 6.85,83.34 $\pm$ 2.46,4.49 $\pm$ 3.54,3.61 $\pm$ 2.89,0.0537 $\pm$ 0.0246,0,1704631958,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 200.0, 'patience': 5, 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"

GAT
78.39 $\pm$ 1.09,67.04 $\pm$ 11.49,86.93 $\pm$ 1.21,3.69 $\pm$ 4.33,2.20 $\pm$ 3.33,0.0518 $\pm$ 0.0220,0,1704634148,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 200.0, 'patience': 5, 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"
78.04 $\pm$ 0.19,71.83 $\pm$ 0.18,86.53 $\pm$ 0.49,10.67 $\pm$ 4.53,8.21 $\pm$ 3.69,0.1092 $\pm$ 0.0103,0,1704634804,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'epoch_fit': 1000, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'feat_dropout': 0.5, 'norm': 'na', 'orthogonality': 200.0, 'patience': 5, 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"

Specformer
77.97 $\pm$ 0.16,41.82 $\pm$ 11.82,87.60 $\pm$ 0.06,0.20 $\pm$ 0.32,0.09 $\pm$ 0.17,0.0624 $\pm$ 0.0418,0,1704628907,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 500, 'epoch_debias': 500, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 128, 'orthogonality': 500.0, 'signal_dim': 128, 'patience': 20, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'power': 0.5, 'step': 0.1, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"
76.34 $\pm$ 0.30,73.13 $\pm$ 0.70,84.39 $\pm$ 0.33,14.33 $\pm$ 0.71,11.22 $\pm$ 0.86,0.0990 $\pm$ 0.0048,0,1704629132,"{'nlayer': 2, 'num_heads': 1, 'hidden_dim': 128, 'filter_dim': 128, 'epoch_fit': 1000, 'epoch_debias': 0, 'lr': 0.001, 'weight_decay': 1e-05, 'tran_dropout': 0.5, 'feat_dropout': 0.5, 'prop_dropout': 0.5, 'norm': 'na', 'eps': [-0.5], 'eigk': 128, 'orthogonality': 500.0, 'signal_dim': 128, 'patience': 20, 'shd_filter': 'F', 'shd_trans': 'F', 'label_number': 6000, 'sens_number': -1, 'ms_decor': 10.0, 'ms_bank': [0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0], 'decor_mode': 'orthogonal', 'power': 0.5, 'step': 0.1, 'seeds': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'dataset': 'credit', 'rank': 0}"
